HorizonMonths,ROC_AUC,PR_AUC,BestThreshold,BestThresholdScore,PositiveRateTrain,PositiveRateTest
3,0.945450885668277,0.8499985331398137,0.43999999999999995,0.7906976744186046,0.20368364030335862,0.1038961038961039
6,0.9009950248756219,0.7563515370140407,0.41999999999999993,0.6666666666666666,0.24347826086956523,0.12987012987012986
12,0.8228927934810287,0.6335146305650556,0.42999999999999994,0.5365853658536586,0.3231441048034934,0.18340611353711792
